iter	Logloss
0	0.6770793281
1	0.6648871086
2	0.651217182
3	0.6363623686
4	0.6268197099
5	0.6157468623
6	0.6033330332
7	0.5926424052
8	0.5822911308
9	0.5741294785
10	0.5662050396
11	0.5565977304
12	0.5498801401
13	0.5416750421
14	0.5359249137
15	0.5282645466
16	0.5225891071
17	0.5169610367
18	0.5110739575
19	0.505468459
20	0.5009799852
21	0.4961713967
22	0.4911663801
23	0.486249857
24	0.4817313619
25	0.4782701066
26	0.473590529
27	0.4697249703
28	0.4664222863
29	0.4633081876
30	0.4589368499
31	0.4549417417
32	0.4517765536
33	0.4488760277
34	0.446753496
35	0.4436886999
36	0.4414599683
37	0.4383776875
38	0.4353326543
39	0.4328485761
40	0.4310174121
41	0.4294482995
42	0.4270620666
43	0.4243794643
44	0.4222727684
45	0.4207532469
46	0.418999738
47	0.4174832397
48	0.4157416634
49	0.4141918757
50	0.4128267239
51	0.4114590368
52	0.4102161374
53	0.4083033228
54	0.4065748059
55	0.4049292041
56	0.404045155
57	0.4019774007
58	0.4007224911
59	0.3992517066
60	0.3980294518
61	0.3973540651
62	0.396364451
63	0.3953164076
64	0.3943972004
65	0.3931757216
66	0.3923032269
67	0.3912551981
68	0.3904306256
69	0.3896688087
70	0.388541269
71	0.3876084759
72	0.3868497742
73	0.3862674704
74	0.3854072056
75	0.3847167868
76	0.3839529891
77	0.3836704364
78	0.3826701654
79	0.382234275
80	0.3817899677
81	0.3812471492
82	0.3804950982
83	0.3798978765
84	0.3792714837
85	0.3786963568
86	0.3781046037
87	0.3775492943
88	0.3770786675
89	0.3766529531
90	0.3760950338
91	0.3756791456
92	0.3750603814
93	0.3745946663
94	0.3739504581
95	0.3732506729
96	0.3726150492
97	0.3718642895
98	0.3714631436
99	0.3708647256
100	0.3704987364
101	0.3699694132
102	0.369503457
103	0.3689889959
104	0.3683243199
105	0.3679624966
106	0.3675877629
107	0.3673239555
108	0.3669267933
109	0.3665745972
110	0.3661701534
111	0.3658057636
112	0.3654862173
113	0.3650850134
114	0.3646649755
115	0.3642530387
116	0.3638917467
117	0.3635125787
118	0.3631885112
119	0.3627750746
120	0.3624242365
121	0.3621508922
122	0.3617882421
123	0.361512988
124	0.361209067
125	0.3609750762
126	0.3607847831
127	0.3605097713
128	0.3601780306
129	0.3599455525
130	0.3597098164
131	0.3594231169
132	0.3589508735
133	0.3586648944
134	0.3584407778
135	0.3581558517
136	0.3576693947
137	0.3574100986
138	0.3573114834
139	0.3570841198
140	0.3567489797
141	0.3564840626
142	0.3562237185
143	0.3560189865
144	0.3557851548
145	0.3554459728
146	0.3550921544
147	0.3548187606
148	0.3544644819
149	0.3542247524
150	0.3537940183
151	0.3535588489
152	0.3533215397
153	0.3531487456
154	0.3530378664
155	0.352803975
156	0.3525312243
157	0.3522668256
158	0.3519441428
159	0.3515435216
160	0.3513360224
161	0.3509849612
162	0.3507270837
163	0.3505146571
164	0.3502311964
165	0.3500057397
166	0.3498138167
167	0.3495235692
168	0.3492347083
169	0.3490894625
170	0.3487906659
171	0.3485622481
172	0.3482654861
173	0.3480341072
174	0.3477802136
175	0.3475820019
176	0.3471371727
177	0.3470053831
178	0.3467665893
179	0.3465476554
180	0.3461986696
181	0.3459320432
182	0.3456749689
183	0.3453995174
184	0.3452728738
185	0.3450535188
186	0.3448834723
187	0.3445479492
188	0.3443239643
189	0.3441314521
190	0.3439434163
191	0.3436757297
192	0.3435216268
193	0.3433377123
194	0.3431915251
195	0.342991034
196	0.3427995717
197	0.3424628022
198	0.3423745265
199	0.342212551
200	0.3419733099
201	0.341845311
202	0.3415731997
203	0.3414157234
204	0.3411338556
205	0.3408990698
206	0.340743589
207	0.3404983573
208	0.3402759765
209	0.3401016227
210	0.3399234698
211	0.3396104425
212	0.3394383861
213	0.3392381937
214	0.3390561694
215	0.3389363549
216	0.3387949948
217	0.3385772945
218	0.338486443
219	0.3382692878
220	0.3381308276
221	0.3379996298
222	0.3377436633
223	0.3374636082
224	0.3372441679
225	0.3369675377
226	0.3368139286
227	0.3365958442
228	0.3364032747
229	0.3361910957
230	0.3359399762
231	0.3356714642
232	0.3354738865
233	0.3353450141
234	0.3351297925
235	0.3349257181
236	0.3348856083
237	0.3346833699
238	0.3344817689
239	0.3342647483
240	0.3340729045
241	0.3339085814
242	0.3337043654
243	0.3335226191
244	0.33335567
245	0.3330816627
246	0.3327875995
247	0.33257461
248	0.3324636992
249	0.3321538035
250	0.3319129648
251	0.33176031
252	0.3316622454
253	0.3315049953
254	0.3314129237
255	0.3312802898
256	0.3310884642
257	0.3309718746
258	0.3308117789
259	0.3306923846
260	0.3305435833
261	0.330477679
262	0.3302459587
263	0.330034176
264	0.329798923
265	0.3297065055
266	0.329504655
267	0.3293405848
268	0.3291561334
269	0.3289875464
270	0.328849241
271	0.3287090537
272	0.3286271698
273	0.3284864488
274	0.3283438939
275	0.3282024614
276	0.3281344055
277	0.3279554811
278	0.3277749146
279	0.3276228326
280	0.3273978325
281	0.3272737875
282	0.3271342345
283	0.3270675847
284	0.3267991109
285	0.326629327
286	0.3264655924
287	0.326301849
288	0.3261851831
289	0.3260390598
290	0.3259034323
291	0.3257232074
292	0.3255693124
293	0.3254195235
294	0.3253058817
295	0.3251659432
296	0.3250321865
297	0.3249218255
298	0.3246939241
299	0.3245610582
300	0.3243997252
301	0.3241965236
302	0.3240166022
303	0.3238700866
304	0.3237426804
305	0.323560401
306	0.3234373585
307	0.3231261036
308	0.3230132638
309	0.3227762779
310	0.3226539724
311	0.3224294241
312	0.3223312794
313	0.3221500175
314	0.3220260805
315	0.3219102651
316	0.3215608435
317	0.3214443317
318	0.3213301469
319	0.3211067129
320	0.3209221788
321	0.3207760826
322	0.3206279167
323	0.3204798393
324	0.320310296
325	0.3201747003
326	0.320061985
327	0.3199179884
328	0.3197442054
329	0.3195782627
330	0.3194932991
331	0.3193975121
332	0.3192575255
333	0.3191567599
334	0.3189300848
335	0.3186368219
336	0.3184690256
337	0.3182420716
338	0.3180345846
339	0.3179053226
340	0.3178164789
341	0.3176744703
342	0.3176000309
343	0.3173831585
344	0.3172963016
345	0.3171614287
346	0.3170473954
347	0.3169075832
348	0.316762396
349	0.3164838623
350	0.3163665558
351	0.3162810791
352	0.3161462389
353	0.3159858766
354	0.3158206186
355	0.3156778264
356	0.3155054662
357	0.3153167875
358	0.3152429928
359	0.3150710591
360	0.3149419769
361	0.3148126815
362	0.3146418476
363	0.3145144112
364	0.3143648756
365	0.3142001223
366	0.3141026464
367	0.3138921555
