iter	Passed	Remaining
0	14	14605
1	25	12553
2	36	12164
3	48	12040
4	58	11689
5	70	11601
6	80	11431
7	92	11418
8	103	11397
9	115	11400
10	125	11322
11	138	11425
12	149	11380
13	163	11498
14	175	11501
15	187	11514
16	199	11543
17	211	11534
18	222	11502
19	233	11452
20	244	11381
21	255	11336
22	265	11285
23	276	11243
24	287	11205
25	298	11192
26	309	11152
27	322	11190
28	333	11154
29	343	11109
30	354	11084
31	365	11061
32	377	11051
33	388	11030
34	396	10930
35	408	10925
36	418	10902
37	429	10882
38	440	10862
39	452	10850
40	462	10826
41	473	10807
42	484	10777
43	495	10769
44	506	10742
45	516	10717
46	527	10696
47	536	10639
48	549	10657
49	562	10682
50	573	10676
51	585	10678
52	597	10672
53	608	10666
54	621	10674
55	633	10677
56	645	10685
57	658	10702
58	669	10671
59	679	10649
60	690	10634
61	701	10607
62	712	10596
63	722	10573
64	734	10563
65	745	10546
66	755	10522
67	766	10500
68	776	10477
69	788	10471
70	798	10452
71	809	10434
72	821	10429
73	830	10387
74	840	10369
75	851	10353
76	862	10340
77	871	10298
78	881	10280
79	892	10260
80	902	10240
81	913	10228
82	924	10212
83	934	10195
84	946	10192
85	959	10197
86	970	10189
87	982	10185
88	995	10187
89	1006	10174
90	1017	10159
91	1030	10174
92	1042	10162
93	1052	10146
94	1063	10131
95	1075	10122
96	1085	10106
97	1096	10087
98	1106	10072
99	1118	10064
100	1130	10060
101	1141	10050
102	1154	10051
103	1166	10045
104	1177	10037
105	1189	10032
106	1200	10021
107	1213	10024
108	1226	10028
109	1239	10028
110	1251	10024
111	1263	10015
112	1274	10007
113	1288	10014
114	1300	10005
115	1311	9996
116	1323	9991
117	1335	9981
118	1345	9963
119	1356	9948
120	1367	9935
121	1377	9915
122	1389	9905
123	1399	9889
124	1410	9873
125	1421	9858
126	1432	9844
127	1443	9832
128	1453	9813
129	1464	9798
130	1474	9780
131	1484	9763
132	1495	9748
133	1506	9732
134	1517	9721
135	1527	9705
136	1539	9695
137	1549	9677
138	1557	9648
139	1568	9632
140	1579	9619
141	1589	9604
142	1599	9588
143	1611	9581
144	1623	9572
145	1634	9562
146	1646	9553
147	1657	9544
148	1669	9536
149	1680	9521
150	1690	9505
151	1701	9493
152	1711	9476
153	1722	9462
154	1733	9449
155	1744	9438
156	1755	9426
157	1766	9412
158	1776	9398
159	1787	9384
160	1798	9373
161	1809	9359
162	1819	9344
163	1830	9332
164	1841	9317
165	1851	9303
166	1863	9293
167	1873	9277
168	1883	9263
169	1894	9247
170	1905	9236
171	1915	9221
172	1927	9215
173	1941	9217
174	1952	9204
175	1962	9190
176	1973	9175
177	1983	9160
178	1994	9148
179	2009	9152
180	2020	9142
181	2031	9130
182	2043	9121
183	2054	9110
184	2066	9101
185	2077	9091
186	2088	9080
187	2100	9073
188	2112	9062
189	2123	9051
190	2134	9041
191	2146	9031
192	2157	9022
193	2168	9011
194	2180	9000
195	2191	8989
196	2202	8979
197	2213	8964
198	2223	8948
199	2233	8934
200	2244	8922
201	2255	8911
202	2266	8896
203	2276	8882
204	2287	8869
205	2297	8855
206	2309	8846
207	2319	8832
208	2330	8820
209	2341	8808
210	2351	8794
211	2362	8779
212	2373	8768
213	2383	8754
214	2393	8740
215	2404	8728
216	2415	8714
217	2425	8700
218	2435	8686
219	2446	8673
220	2456	8660
221	2468	8650
222	2478	8637
223	2489	8625
224	2500	8612
225	2511	8601
226	2522	8590
227	2533	8579
228	2545	8568
229	2556	8558
230	2566	8544
231	2578	8534
232	2589	8522
233	2599	8509
234	2609	8495
235	2621	8485
236	2630	8467
237	2640	8454
238	2651	8443
239	2662	8432
240	2673	8421
241	2684	8407
242	2694	8395
243	2705	8382
244	2716	8370
245	2727	8359
246	2744	8367
247	2756	8357
248	2767	8346
249	2778	8336
250	2790	8325
251	2801	8314
252	2812	8304
253	2824	8296
254	2836	8286
255	2848	8279
256	2860	8270
257	2873	8263
258	2885	8254
259	2896	8243
260	2909	8236
261	2923	8235
262	2935	8226
263	2947	8216
264	2958	8205
265	2969	8195
266	2981	8185
267	2995	8180
268	3007	8173
269	3019	8163
270	3030	8151
271	3040	8137
272	3051	8126
273	3062	8114
